praia,latitude,longitude,data,hora,altura,hora_decimal,mes,ano,dia_mes,semana_ano,dia_da_semana
barra_norte,0.0,0.0,2025-03-02,12:17,3.69,12.283333333333333,3,2025,2,9,Sunday
barra_norte,0.0,0.0,2025-03-02,18:08,0.04,18.133333333333333,3,2025,2,9,Sunday
barra_norte,0.0,0.0,2025-04-02,01:06,3.03,1.1,4,2025,2,14,Wednesday
barra_norte,0.0,0.0,2025-04-02,06:38,0.55,6.633333333333333,4,2025,2,14,Wednesday
barra_norte,0.0,0.0,2025-04-02,13:29,2.93,13.483333333333333,4,2025,2,14,Wednesday
barra_norte,0.0,0.0,2025-04-02,19:01,0.48,19.016666666666666,4,2025,2,14,Wednesday
barra_norte,0.0,0.0,2025-05-02,00:47,3.57,0.7833333333333333,5,2025,2,18,Friday
barra_norte,0.0,0.0,2025-05-02,06:36,-0.02,6.6,5,2025,2,18,Friday
barra_norte,0.0,0.0,2025-05-02,13:08,3.5,13.133333333333333,5,2025,2,18,Friday
barra_norte,0.0,0.0,2025-05-02,19:01,0.08,19.016666666666666,5,2025,2,18,Friday
barra_norte,0.0,0.0,2025-06-02,02:02,2.77,2.033333333333333,6,2025,2,23,Monday
barra_norte,0.0,0.0,2025-06-02,07:21,0.79,7.35,6,2025,2,23,Monday
barra_norte,0.0,0.0,2025-06-02,14:16,2.69,14.266666666666667,6,2025,2,23,Monday
barra_norte,0.0,0.0,2025-06-02,19:57,0.61,19.95,6,2025,2,23,Monday
barra_norte,0.0,0.0,2025-07-02,01:42,3.32,1.7,7,2025,2,27,Wednesday
barra_norte,0.0,0.0,2025-07-02,07:21,0.22,7.35,7,2025,2,27,Wednesday
barra_norte,0.0,0.0,2025-07-02,14:04,3.26,14.066666666666666,7,2025,2,27,Wednesday
barra_norte,0.0,0.0,2025-07-02,19:55,0.22,19.916666666666668,7,2025,2,27,Wednesday
barra_norte,0.0,0.0,2025-08-02,03:02,2.53,3.033333333333333,8,2025,2,31,Saturday
barra_norte,0.0,0.0,2025-08-02,08:17,1.07,8.283333333333333,8,2025,2,31,Saturday
barra_norte,0.0,0.0,2025-08-02,15:06,2.51,15.1,8,2025,2,31,Saturday
barra_norte,0.0,0.0,2025-08-02,21:01,0.76,21.016666666666666,8,2025,2,31,Saturday
barra_norte,0.0,0.0,2025-09-02,02:44,3.06,2.7333333333333334,9,2025,2,36,Tuesday
barra_norte,0.0,0.0,2025-09-02,08:17,0.54,8.283333333333333,9,2025,2,36,Tuesday
barra_norte,0.0,0.0,2025-09-02,15:06,3.03,15.1,9,2025,2,36,Tuesday
barra_norte,0.0,0.0,2025-09-02,20:59,0.38,20.983333333333334,9,2025,2,36,Tuesday
barra_norte,0.0,0.0,2025-10-02,04:08,2.37,4.133333333333334,10,2025,2,40,Thursday
barra_norte,0.0,0.0,2025-10-02,09:29,1.32,9.483333333333333,10,2025,2,40,Thursday
barra_norte,0.0,0.0,2025-10-02,16:06,2.42,16.1,10,2025,2,40,Thursday
barra_norte,0.0,0.0,2025-10-02,22:14,0.86,22.233333333333334,10,2025,2,40,Thursday
